time_1000000,time_1200000,time_1400000,time_1600000,time_1800000,time_200000,time_2000000,time_400000,time_600000,time_800000
4.152049,4.433569,5.370180,6.077213,7.466191,0.747035,7.292868,1.489239,2.550047,3.050224
4.269392,5.394108,5.259347,5.836198,7.797574,0.816585,7.750685,1.909068,2.484916,3.103630
4.226571,4.427112,5.355580,6.345227,6.643927,0.956226,7.328438,1.858624,2.225453,2.920739
3.679992,4.584038,5.160164,6.370916,6.628505,0.726763,7.277928,1.785352,2.222243,3.202682
4.240815,5.130362,5.566207,5.877586,7.683553,0.732867,7.775123,1.714053,2.712261,3.142782
