time_1000,time_1200,time_1400,time_1600,time_1800,time_200,time_2000,time_400,time_600,time_800
2.695199,2.979418,2.974199,3.864893,3.877609,0.435525,4.916913,1.066853,1.282584,1.784675
2.266739,2.587458,3.609542,3.726919,4.545416,0.445848,4.652194,0.893790,1.269973,1.779479
2.325771,2.544401,3.694204,3.679928,4.374905,0.429688,4.192304,1.107041,1.435339,2.111518
2.687525,2.978634,3.569512,3.818148,4.169439,0.432015,4.612859,0.869002,1.256104,2.115712
2.191652,2.529583,3.355446,4.122334,3.781531,0.555910,4.858907,1.098701,1.651139,2.204443
