time_1000000000,time_1200000000,time_1400000000,time_1600000000,time_1800000000,time_200000000,time_2000000000,time_400000000,time_600000000,time_800000000
6.126397,7.255249,8.578265,10.969865,12.303486,1.248940,12.148998,2.469079,3.683211,4.935383
6.527868,7.296036,8.601833,11.080126,11.970356,1.426870,12.285074,2.446834,3.648693,4.842649
6.259653,7.658183,9.385719,10.811391,10.897082,1.230803,12.202109,3.032772,4.218538,5.566243
6.039291,7.674665,9.721663,10.736316,12.181451,1.587930,13.771484,2.441293,3.686372,4.914422
6.473806,7.452904,10.060343,10.325813,10.902070,1.210446,12.824994,2.430522,4.178233,4.910759
