time_1000,time_1200,time_1400,time_1600,time_1800,time_200,time_2000,time_400,time_600,time_800,time_1000,time_1200,time_1400,time_1600,time_1800,time_200,time_2000,time_400,time_600,time_800
2.695199,2.979418,2.974199,3.864893,3.877609,0.435525,4.916913,1.066853,1.282584,1.784675,2.526202,2.869152,3.330570,3.816908,4.362570,0.483026,5.210058,0.978676,1.462920,2.495388
2.266739,2.587458,3.609542,3.726919,4.545416,0.445848,4.652194,0.893790,1.269973,1.779479,2.777935,2.866010,3.793076,4.145872,4.291969,0.487817,4.855691,1.227996,1.438640,2.330998
2.325771,2.544401,3.694204,3.679928,4.374905,0.429688,4.192304,1.107041,1.435339,2.111518,2.664058,2.893261,3.907344,3.830764,4.740483,0.484846,4.748525,1.021678,1.859285,2.323474
2.687525,2.978634,3.569512,3.818148,4.169439,0.432015,4.612859,0.869002,1.256104,2.115712,2.459738,2.879467,4.094578,3.971087,4.660707,0.612497,5.314009,1.032302,1.496735,2.129996
2.191652,2.529583,3.355446,4.122334,3.781531,0.555910,4.858907,1.098701,1.651139,2.204443,2.414589,3.455806,3.526779,4.483286,4.415395,0.627714,4.736341,1.129670,1.481257,2.024399
