time_1000000,time_1200000,time_1400000,time_1600000,time_1800000,time_200000,time_2000000,time_400000,time_600000,time_800000,time_1000000,time_1200000,time_1400000,time_1600000,time_1800000,time_200000,time_2000000,time_400000,time_600000,time_800000
3.448697,4.418586,5.154423,5.287312,6.941500,0.660024,7.231284,1.300629,2.333233,3.274371,4.152049,4.433569,5.370180,6.077213,7.466191,0.747035,7.292868,1.489239,2.550047,3.050224
3.804821,3.965604,5.673485,6.082212,6.929114,0.658227,7.333677,1.521397,2.309730,2.560504,4.269392,5.394108,5.259347,5.836198,7.797574,0.816585,7.750685,1.909068,2.484916,3.103630
3.681972,3.943131,5.027314,5.854119,6.415174,0.838229,7.618934,1.554478,1.985458,3.148010,4.226571,4.427112,5.355580,6.345227,6.643927,0.956226,7.328438,1.858624,2.225453,2.920739
3.711563,4.334352,4.580465,5.892564,6.467692,0.668482,7.187106,1.575165,1.983627,2.901809,3.679992,4.584038,5.160164,6.370916,6.628505,0.726763,7.277928,1.785352,2.222243,3.202682
3.901005,4.525897,5.380263,5.705174,7.102077,0.646780,6.688957,1.508542,1.938379,3.114986,4.240815,5.130362,5.566207,5.877586,7.683553,0.732867,7.775123,1.714053,2.712261,3.142782
