time_1000000000,time_1200000000,time_1400000000,time_1600000000,time_1800000000,time_200000000,time_2000000000,time_400000000,time_600000000,time_800000000
7.209691,8.767347,10.308454,12.081833,13.046040,1.261941,15.275922,2.494433,4.436454,5.959715
7.399147,8.536025,10.549089,11.197530,13.350470,1.286838,16.613053,2.665961,5.599038,5.409958
8.070701,8.818170,10.911330,12.109751,12.783354,1.539436,16.030444,2.691956,4.083770,5.723866
7.385723,9.115187,9.953088,13.780058,13.494309,1.336564,14.738538,2.609692,4.350014,5.695897
8.411611,8.949751,10.738145,11.520889,13.378151,1.571444,14.895633,2.639764,4.533837,5.937793
